Timestamp,Age,Gender,City,Position,Total years of experience,Seniority level,main technology,Yearly salary,Yearly bonus,Number of vacation days,Main language at work,Company type,Contract duration,Employment status,Company business sector
12/14/2018,43,Male,Munich,Software Engineer,11,Senior,PHP,77000,1000,29,Deutsch,Product,1 year,Full-time employee,Tourism
12/14/2018,33,Male,Munich,Backend Developer,8,Senior,Python,65000,8535,22,Deutsch,Product,1 year,Full-time employee,Scientific Activities
12/14/2018,32,Male,Munich,Software Engineer,10,Senior,Kotlin,88000,8535,27,Deutsch,Product,1 year,Self-employed (freelancer),commerce
12/14/2018,25,Male,Munich,Frontend Developer,6,Senior,PHP,78000,8535,24,English,Product,1 year,Full-time employee,Transport
12/14/2018,39,Male,Munich,Backend Developer,10,Senior,C/C++,69000,8535,30,English,Ecom retailer,1 year,Full-time employee,Automotive
12/14/2018,37,Male,Munich,DevOps,8,Senior,Python,98000,8535,27,Deutsch,Insurance,1 year,Full-time employee,commerce
12/14/2018,32,Male,Berlin,Frontend Developer,5,Senior,Java,65000,8535,25,English,Product,1 year,Full-time employee,commerce
12/14/2018,36,Male,Munich,Frontend Developer,8,Senior,Not Relevant,109000,4000,30,English,No data,1 year,Full-time employee,Automotive
12/14/2018,32,Male,Berlin,Backend Developer,3,Senior,Swift,65000,8535,28,English,Startup,1 year,Full-time employee,Coaching
12/14/2018,30,Male,Munich,Software Engineer,8,Senior,Kotlin,60000,8535,26,Deutsch,Agency,1 year,Full-time employee,commerce
12/14/2018,40,Female,Berlin,Data Engineer,18,Senior,Javascript / Typescript,70000,8535,28,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,33,Male,Karlsruhe,Software Engineer,8,Senior,Go,70000,8535,26,English,Product,6 months,Self-employed (freelancer),Gaming
12/14/2018,31,Other,Berlin,Software Engineer,8,Senior,AWS,55000,8535,30,English,Startup,1 year,Full-time employee,Manufacture
12/14/2018,29,Male,Berlin,Software Engineer,6,Middle,Not Relevant,55000,5500,30,English,Product,1 year,Full-time employee,Manufacture
12/14/2018,32,Male,Munich,Designer (UI/UX),11,Middle,Javascript / Typescript,94500,8535,40,Russian,Product,1 year,Full-time employee,Customer Support
12/14/2018,25,Male,Munich,Backend Developer,3,Junior,Java,46000,8535,26,English,Startup,1 year,Full-time employee,Transport
12/14/2018,33,Male,Munich,Backend Developer,11,Senior,Swift,68000,8535,27,Deutsch,Product,1 year,Full-time employee,commerce
12/14/2018,24,Male,Hamburg,Product Manager,4,Middle,Java,60000,8535,28,English,Product,1 year,Full-time employee,Advertising
12/14/2018,44,Male,Berlin,Backend Developer,17,Senior,Kubernetes,62500,8535,30,Deutsch,Agency,1 year,Full-time employee,commerce
12/14/2018,37,Male,Berlin,Mobile Developer,19,Senior,Python,80000,8535,28,English,Startup,1 year,Full-time employee,commerce
12/14/2018,29,Male,Munich,DevOps,10,Senior,C/C++,132250,8535,30,English,Big Tech,1 year,Full-time employee,Health
12/14/2018,34,Male,Berlin,Software Architect,10,Senior,PHP,53000,8535,25,English,Startup,1 year,Full-time employee,commerce
12/14/2018,28,Male,Munich,Software Engineer,5,Middle,Not Relevant,52000,8535,28,English,Product,No data,Full-time employee,commerce
12/14/2018,35,Male,Berlin,Backend Developer,10,Senior,Python,95000,8535,30,English,Consultancy,1 year,Full-time employee,Fashion
12/14/2018,32,Male,Munich,Software Engineer,4,Senior,Not Relevant,72000,6000,24,English,Agency,1 year,Full-time employee,IoT
12/14/2018,40,Male,Munich,Team Lead,15,Middle,AWS,55000,8535,24,English,Product,1 year,Full-time employee,Catering
12/14/2018,39,Male,Munich,DevOps,15,Senior,Ruby,77000,8535,24,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,38,Male,Munich,Test manager,12,Senior,Python,72000,7000,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,28,Male,Munich,DevOps,8,Senior,Java,80000,4000,20,English,Product,1 year,Full-time employee,Automotive
12/14/2018,31,Male,Berlin,Product Manager,5,Middle,PHP,66000,8535,24,English,Product,1 year,Full-time employee,commerce
12/14/2018,39,Male,Berlin,Software Engineer,10,Middle,Java,75800,8535,30,Deutsch,Corporation,1 year,Full-time employee,Marketing
12/14/2018,35,Male,Munich,Backend Developer,12,Senior,.NET,84000,5000,30,English,Startup,1 year,Full-time employee,commerce
12/14/2018,32,Female,Munich,QA Engineer,10,Senior,PHP,60000,8535,28,English,Product,No data,Full-time employee,Finance / Insurance
12/14/2018,27,Male,Augsburg ,Software Engineer,4,Middle,PHP,57000,8535,26,Deutsch,Product,1 year,Full-time employee,commerce
12/14/2018,32,Male,Munich,Software Engineer,2,Junior,PHP,58000,6500,28,English,Product,1 year,Full-time employee,commerce
12/14/2018,31,Male,Munich,Data Scientist,1,Junior,Java,36000,8535,29,English,Startup,1 year,Full-time employee,commerce
12/14/2018,31,Female,Munich,Designer (UI/UX),10,Senior,Scala,70000,8535,28,English,Product,1 year,Full-time employee,Transport
12/14/2018,32,Male,Munich,Software Engineer,10,Senior,Javascript / Typescript,72000,8535,9,English,Product,1 year,Full-time employee,commerce
12/14/2018,35,Male,Munich,Backend Developer,5,Middle,Java,75000,8535,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,33,Male,Munich,DevOps,9,Middle,Not Relevant,90000,16000,28,Deutsch,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,32,Male,Munich,Frontend Developer,7,Senior,Java,69000,8535,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,41,Male,Munich,Software Engineer,20,Senior,Clojure,113000,8535,25,Deutsch,Startup,1 year,Full-time employee,commerce
12/14/2018,32,Male,Munich,Frontend Developer,10,Senior,Java,65000,8535,30,English,Product,1 year,Self-employed (freelancer),Finance / Insurance
12/14/2018,30,Female,Munich,Software Engineer,7,Middle,PHP,75000,2000,25,English,Product,1 year,Full-time employee,commerce
12/14/2018,24,Male,Munich,Software Engineer,3,Middle,Javascript / Typescript,57000,8535,26,Russian,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,43,Male,Berlin,Software Engineer,10,Senior,Java,84000,8535,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,28,Female,Munich,Designer (UI/UX),6,Senior,Java,70000,8535,25,English,Product,1 year,Full-time employee,Tourism
12/14/2018,29,Male,Bremen,Backend Developer,1,Junior,Java,55000,8535,26,Deutsch,Product,1 year,Full-time employee,Automotive
12/14/2018,32,Female,Munich,Backend Developer,6,Senior,Ruby,60000,8535,26,English,Product,1 year,Full-time employee,Tourism
12/14/2018,31,Male,Frankfurt,Software Engineer,11,Senior,Javascript / Typescript,65000,8535,30,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,33,Male,Berlin,Backend Developer,10,Senior,.NET,70000,2000,30,English,Startup,1 year,Full-time employee,commerce
12/14/2018,29,Female,No data,Designer (UI/UX),7,Middle,Javascript / Typescript,50000,4650,30,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,28,Female,Munich,QA Engineer,7,Middle,Python,65000,9000,25,Deutsch,Agency,1 year,Full-time employee,commerce
12/14/2018,32,Male,Munich,Backend Developer,10,Senior,Python,78000,8535,28,English,Startup,1 year,Full-time employee,commerce
12/14/2018,26,Male,Regensburg,Backend Developer,1,Junior,Python,60000,8000,24,Deutsch,Product,more than 1 year,Full-time employee,commerce
12/14/2018,34,Male,Hamburg,Software Engineer,10,Senior,Kotlin,71000,8535,30,English,Startup,1 year,Full-time employee,Transport
12/14/2018,29,Male,Munich,Software Engineer,9,Senior,No data,75000,8535,30,Deutsch,Product,1 year,Full-time employee,Health
12/14/2018,27,Male,Frankfurt,DevOps,1,Junior,Python,49000,8535,28,English,Consultancy,1 year,Full-time employee,Manufacture
12/14/2018,28,Male,Hamburg,Software Engineer,4,Senior,Python,65000,8000,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,34,Male,Munich,Software Engineer,10,Senior,Swift,68000,8535,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,35,Female,Munich,Software Engineer,10,Senior,Not Relevant,56000,8535,25,English,Product,1 year,Full-time employee,Gaming
12/14/2018,32,Male,Berlin,Backend Developer,3,Junior,Not Relevant,30000,8535,30,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,32,Male,Munich,Frontend Developer,11,Senior,PHP,72000,8535,28,English,Product,1 year,Full-time employee,commerce
12/14/2018,32,Male,Frankfurt,Software Engineer,4,Middle,Java,65000,16000,30,English,Product,1 year,Full-time employee,commerce
12/14/2018,29,Male,Frankfurt,Frontend Developer,5,Middle,Python,45000,8535,27,English,Agency,1 year,Full-time employee,Gaming
12/14/2018,36,Male,Munich,Hardware Engineer,4,Middle,Swift,55000,1500,27,English,Product,1 year,Full-time employee,commerce
12/14/2018,29,Male,Lisbon,Data Scientist,6,Middle,PHP,40000,8535,26,English,Product,1 year,Full-time employee,commerce
12/14/2018,25,Male,Frankfurt,Software Engineer,5,Middle,Python,66000,8535,28,English,Agency,1 year,Full-time employee,Finance / Insurance
12/14/2018,32,Male,Frankfurt,Data Engineer,7,Senior,C/C++,66000,13000,30,English,Product,1 year,Company Director,Transport
12/14/2018,32,Male,Hamburg,Software Engineer,5,Middle,AWS,54000,200,27,English,Product,1 year,Full-time employee,IT
12/14/2018,25,Male,Munich,Mobile Developer,3,Senior,Swift,60000,4700,30,Russian,Startup,1 year,Full-time employee,Manufacture
12/14/2018,32,Male,Berlin,Backend Developer,6,Middle,Java,50000,2000,30,English,Product,more than 1 year,Full-time employee,commerce
12/14/2018,29,Male,Berlin,Software Engineer,7,Senior,Java,60000,8535,30,English,Product,1 year,Full-time employee,Advertising
12/14/2018,32,Male,Leipzig,Software Engineer,3,Senior,PHP,48000,8000,30,English,Agency,1 year,Full-time employee,commerce
12/14/2018,26,Male,Munich,Engineering Manager,4,Middle,Python,66000,8535,30,English,Agency,1 year,Full-time employee,commerce
12/14/2018,33,Male,Frankfurt,Backend Developer,10,Senior,Ruby,95000,8535,30,Deutsch,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,28,Male,Munich,DevOps,8,Middle,Java,61000,8535,28,English,Product,1 year,Full-time employee,Scientific Activities
12/14/2018,31,Male,Berlin,Software Engineer,1,Middle,.NET,65000,8535,30,English,Startup,1 year,Full-time employee,Finance / Insurance
12/14/2018,29,Male,Berlin,Software Engineer,5,Middle,Not Relevant,55000,8535,30,English,Startup,1 year,Full-time employee,commerce
12/14/2018,29,Female,Munich,Data Scientist,8,Senior,Ruby,72000,8535,26,Russian,Product,1 year,Full-time employee,commerce
12/14/2018,33,Male,Berlin,Software Engineer,8,Middle,Python,90000,23,28,English,Product,1 year,Full-time employee,commerce
12/14/2018,31,Female,Berlin,Analytics engineer,12,Senior,Python,60000,6000,30,English,Startup,1 year,Full-time employee,IT
12/14/2018,32,Male,Munich,Software Engineer,5,Middle,AWS,60000,8535,30,English,Product,1 year,Full-time employee,Transport
12/14/2018,27,Male,Berlin,Localization producer,10,Senior,Swift,87000,8535,25,English,Product,1 year,Full-time employee,commerce
12/14/2018,30,Male,Berlin,Mobile Developer,6,Senior,Yaml,70000,10000,31,English,Product,1 year,Full-time employee,commerce
12/14/2018,32,Male,Munich,Software Engineer,8,Middle,Javascript / Typescript,30000,8535,26,English,Startup,1 year,Full-time employee,commerce
12/14/2018,34,Male,Berlin,Software Engineer,5,Middle,AWS,55000,8535,28,English,Startup,1 year,Full-time employee,Automotive
12/14/2018,24,Female,Munich,QA Engineer,3,Middle,PHP,57000,8535,30,English,Product,1 year,Full-time employee,Finance / Insurance
12/14/2018,44,Male,Munich,Data Scientist,14,Senior,Java,73000,8535,26,Russian,No data,1 year,Full-time employee,Finance / Insurance
12/14/2018,37,Male,Berlin,DevOps,15,Senior,Java,85000,8535,30,English,Startup,1 year,Full-time employee,Marketing
12/14/2018,32,Male,Stuttgart,Data Scientist,4,Senior,Java,65000,8535,28,English,Agency,1 year,Full-time employee,Finance / Insurance
12/14/2018,32,Male,Stuttgart,Hardware Engineer,4,Senior,"Linux-Stack, Networking",65000,10500,30,English,Agency,1 year,Full-time employee,Finance / Insurance
